2023-08-14 02:55:10,193 - INFO: Epoch:3/200 || Epochiter: 10/18 || Iter: 46/3600 || Loc: 1.5107 Cla: 1.6250 Landm: 6.3212 || LR: 0.00100000 || Batchtime: 0.1258 s || ETA: 0:07:27
2023-08-14 02:55:10,344 - INFO: Epoch:3/200 || Epochiter: 11/18 || Iter: 47/3600 || Loc: 2.4266 Cla: 2.1770 Landm: 9.3445 || LR: 0.00100000 || Batchtime: 0.1236 s || ETA: 0:07:19
2023-08-14 02:55:10,501 - INFO: Epoch:3/200 || Epochiter: 12/18 || Iter: 48/3600 || Loc: 1.5498 Cla: 1.5961 Landm: 6.3995 || LR: 0.00100000 || Batchtime: 0.1327 s || ETA: 0:07:51
2023-08-14 02:55:10,678 - INFO: Epoch:3/200 || Epochiter: 13/18 || Iter: 49/3600 || Loc: 1.1681 Cla: 1.4502 Landm: 5.4470 || LR: 0.00100000 || Batchtime: 0.1543 s || ETA: 0:09:08
2023-08-14 02:55:10,835 - INFO: Epoch:3/200 || Epochiter: 14/18 || Iter: 50/3600 || Loc: 1.2436 Cla: 1.5000 Landm: 4.8857 || LR: 0.00100000 || Batchtime: 0.1334 s || ETA: 0:07:53
2023-08-14 02:55:11,013 - INFO: Epoch:3/200 || Epochiter: 15/18 || Iter: 51/3600 || Loc: 1.7194 Cla: 1.6118 Landm: 5.7997 || LR: 0.00100000 || Batchtime: 0.1578 s || ETA: 0:09:20
2023-08-14 02:55:11,181 - INFO: Epoch:3/200 || Epochiter: 16/18 || Iter: 52/3600 || Loc: 1.3292 Cla: 1.4333 Landm: 5.2198 || LR: 0.00100000 || Batchtime: 0.1445 s || ETA: 0:08:32
2023-08-14 02:55:11,350 - INFO: Epoch:3/200 || Epochiter: 17/18 || Iter: 53/3600 || Loc: 1.2939 Cla: 1.7532 Landm: 6.1712 || LR: 0.00100000 || Batchtime: 0.1408 s || ETA: 0:08:19
2023-08-14 02:55:11,463 - INFO: Epoch:3/200 || Epochiter: 18/18 || Iter: 54/3600 || Loc: 1.8073 Cla: 2.0487 Landm: 6.9082 || LR: 0.00100000 || Batchtime: 0.1114 s || ETA: 0:06:35
2023-08-14 02:55:12,259 - INFO: Epoch:4/200 || Epochiter: 1/18 || Iter: 55/3600 || Loc: 1.2616 Cla: 2.0834 Landm: 7.7420 || LR: 0.00100000 || Batchtime: 0.5156 s || ETA: 0:30:28
2023-08-14 02:55:12,464 - INFO: Epoch:4/200 || Epochiter: 2/18 || Iter: 56/3600 || Loc: 1.3605 Cla: 1.3547 Landm: 5.5762 || LR: 0.00100000 || Batchtime: 0.1829 s || ETA: 0:10:48
2023-08-14 02:55:12,611 - INFO: Epoch:4/200 || Epochiter: 3/18 || Iter: 57/3600 || Loc: 1.3304 Cla: 1.4741 Landm: 5.8400 || LR: 0.00100000 || Batchtime: 0.1293 s || ETA: 0:07:38
2023-08-14 02:55:12,775 - INFO: Epoch:4/200 || Epochiter: 4/18 || Iter: 58/3600 || Loc: 1.2677 Cla: 1.5769 Landm: 4.9546 || LR: 0.00100000 || Batchtime: 0.1419 s || ETA: 0:08:22
2023-08-14 02:55:12,968 - INFO: Epoch:4/200 || Epochiter: 5/18 || Iter: 59/3600 || Loc: 1.0485 Cla: 1.6234 Landm: 4.3818 || LR: 0.00100000 || Batchtime: 0.1653 s || ETA: 0:09:45
2023-08-14 02:55:13,125 - INFO: Epoch:4/200 || Epochiter: 6/18 || Iter: 60/3600 || Loc: 1.2770 Cla: 2.0348 Landm: 5.4344 || LR: 0.00100000 || Batchtime: 0.1264 s || ETA: 0:07:27
2023-08-14 02:55:13,300 - INFO: Epoch:4/200 || Epochiter: 7/18 || Iter: 61/3600 || Loc: 0.9887 Cla: 1.4932 Landm: 5.5716 || LR: 0.00100000 || Batchtime: 0.1568 s || ETA: 0:09:15
2023-08-14 02:55:13,489 - INFO: Epoch:4/200 || Epochiter: 8/18 || Iter: 62/3600 || Loc: 1.0504 Cla: 1.4155 Landm: 5.2366 || LR: 0.00100000 || Batchtime: 0.1671 s || ETA: 0:09:51
2023-08-14 02:55:13,659 - INFO: Epoch:4/200 || Epochiter: 9/18 || Iter: 63/3600 || Loc: 1.1273 Cla: 1.5912 Landm: 6.1197 || LR: 0.00100000 || Batchtime: 0.1557 s || ETA: 0:09:10
2023-08-14 02:55:13,814 - INFO: Epoch:4/200 || Epochiter: 10/18 || Iter: 64/3600 || Loc: 0.8448 Cla: 1.2993 Landm: 4.6263 || LR: 0.00100000 || Batchtime: 0.1317 s || ETA: 0:07:45
2023-08-14 02:55:13,972 - INFO: Epoch:4/200 || Epochiter: 11/18 || Iter: 65/3600 || Loc: 1.0214 Cla: 1.4505 Landm: 4.9139 || LR: 0.00100000 || Batchtime: 0.1344 s || ETA: 0:07:55
2023-08-14 02:55:14,155 - INFO: Epoch:4/200 || Epochiter: 12/18 || Iter: 66/3600 || Loc: 1.0067 Cla: 1.5115 Landm: 5.0369 || LR: 0.00100000 || Batchtime: 0.1541 s || ETA: 0:09:04
2023-08-14 02:55:14,323 - INFO: Epoch:4/200 || Epochiter: 13/18 || Iter: 67/3600 || Loc: 1.2942 Cla: 1.6015 Landm: 5.1170 || LR: 0.00100000 || Batchtime: 0.1440 s || ETA: 0:08:28
2023-08-14 02:55:14,496 - INFO: Epoch:4/200 || Epochiter: 14/18 || Iter: 68/3600 || Loc: 0.9588 Cla: 1.2781 Landm: 5.3429 || LR: 0.00100000 || Batchtime: 0.1617 s || ETA: 0:09:31
2023-08-14 02:55:14,663 - INFO: Epoch:4/200 || Epochiter: 15/18 || Iter: 69/3600 || Loc: 1.0862 Cla: 1.5696 Landm: 4.1043 || LR: 0.00100000 || Batchtime: 0.1424 s || ETA: 0:08:23
2023-08-14 02:55:14,822 - INFO: Epoch:4/200 || Epochiter: 16/18 || Iter: 70/3600 || Loc: 0.9652 Cla: 1.4154 Landm: 5.5593 || LR: 0.00100000 || Batchtime: 0.1365 s || ETA: 0:08:01
2023-08-14 02:55:15,022 - INFO: Epoch:4/200 || Epochiter: 17/18 || Iter: 71/3600 || Loc: 1.2410 Cla: 1.2836 Landm: 5.5884 || LR: 0.00100000 || Batchtime: 0.1754 s || ETA: 0:10:19
2023-08-14 02:55:15,141 - INFO: Epoch:4/200 || Epochiter: 18/18 || Iter: 72/3600 || Loc: 0.5678 Cla: 1.4335 Landm: 3.7607 || LR: 0.00100000 || Batchtime: 0.1138 s || ETA: 0:06:41
2023-08-14 02:55:15,933 - INFO: Epoch:5/200 || Epochiter: 1/18 || Iter: 73/3600 || Loc: 0.8208 Cla: 1.2960 Landm: 3.5611 || LR: 0.00100000 || Batchtime: 0.5251 s || ETA: 0:30:52
2023-08-14 02:55:16,136 - INFO: Epoch:5/200 || Epochiter: 2/18 || Iter: 74/3600 || Loc: 0.9377 Cla: 1.5469 Landm: 4.8058 || LR: 0.00100000 || Batchtime: 0.1937 s || ETA: 0:11:23
